Repo,PullRequest,Fork,Start_date,End_date,Commits,PR_Start,Commit_Before_PR,Participants
https://github.com/pallets/flask,1222,https://github.com/defuz/flask,2014-10-26T15:28:12Z,2014-11-02T19:41:38Z,"['f88765d504ce2fa9bc3926c76910b11510522892', '76f3d6b45e76b9979375ef2519cc6164b07c54c1', '6a6acfbb091229ccc28215e92868fa45ec4c2d79']",2014-10-26T15:44:02Z,f88765d504ce2fa9bc3926c76910b11510522892,2
https://github.com/pallets/flask,1240,https://github.com/defuz/flask,2014-11-05T02:56:02Z,2014-11-05T08:42:40Z,"['6dbb015b43cbf0e1670c168b2746a3c16b6fc5a9', '8284217593d5ea3d4bdeaed1e146fa94578b7999', '3fa4fd0908fcd2300b568171a285726d19a976e1', 'a8f570cc6225e22d0411cf20b0102a92f319e4e3', '936e787ccaaff34fcda995081ad63f376cdc84af', '02694d609f7ae43e023872a2f20b835590e10c0a', 'ad011bc32d7b9160354efafcd43e20f7042a6a13', '06d9a5e738f55ad168caa39a651477567230a78b', '17eee81da085e979029180895da2d1887182264d', '0bb4de1e3ba0c971faba3e2f6815bc9895448940', '663802e9768d7862ae30aabf7b68f6e381fd59a3', 'd4b9b9854c7afb32c4c2ee27c4d98def1c8e22ca', 'd338dc8a1369d56cc998c9688ae9e818ba9a5df5', 'd6f5eb8def82d86d9377924cffa9d23ae2dec6cf', '5562acfdfc8bb00852a56addc735eacde88b4367', '1501b79293b9441509d1911ad3da5b0e1871b1dd', 'eb05001f8a1a6c3acd630b082b81f7fb5f6b9bf4', '974e14484369a977690ae6c29b2e6898525c71e3', '7e157ee589f765f44f6101e88f07fa7f1d165830']",2014-11-05T05:12:26Z,5562acfdfc8bb00852a56addc735eacde88b4367,2
https://github.com/pallets/flask,1291,https://github.com/flying-sheep/flask,2015-04-11T12:05:22Z,2015-04-11T12:24:01Z,"['eae48d97b085626c1860a900a27ff63c439e0edb', '7126a22334c881101b5c5f8bdc00d008cb7229aa', 'a6c6cc18f5eab148cb15a65fe6543fb5f1272765', 'aa4700c276999a002bd6ddf8c7d35993429ec2d7', '0e44cca8e32f17e78f73a127ebe8d8c627c3fe13', 'fd8e6b26f9ff59bc8bccd6bd251bee5838551ba8', '8c054f04b87dc7d713495d91fdb4d52bdef0e643', 'b31252db55cfac4605ad917d34eaa55fff248a38']",2014-12-23T18:18:53Z,eae48d97b085626c1860a900a27ff63c439e0edb,5
https://github.com/pallets/flask,1307,https://github.com/sourya/flask,2015-01-03T15:00:30Z,2015-01-04T07:30:51Z,"['d2a380451b721e7a8de11ff9f5d7f4d33e0762e9', '50fef79b20a86ed13ba81225a13fa589d6a14e73', 'a6ea6335a56fe43123ba1709d52b943972ce4787']",2015-01-03T15:10:38Z,d2a380451b721e7a8de11ff9f5d7f4d33e0762e9,4
https://github.com/pallets/flask,1429,https://github.com/flying-sheep/flask,2015-04-11T15:25:17Z,2015-04-11T16:08:04Z,"['9d3c4bbb8c180cc3f42edacc41f74ca327af9805', 'd4ad47af624ef8382182fa3627b5e10e8ee2c703', '4437eb7ceb7f139df8d14fae904c22e86557d053', '290372faf118d3f925dd674dc593a91f1c1ea58a']",2015-04-11T15:26:08Z,9d3c4bbb8c180cc3f42edacc41f74ca327af9805,2
https://github.com/pallets/flask,1484,https://github.com/untitaker/flask,2016-04-02T18:57:27Z,2016-04-02T19:01:29Z,"['188f0e2710bec195925687f51db5dc430ee5ee91', '005a49d969e2e4ebcd23cfd8347a6f2d331e1778', '2ec11136ef23666686ace1587cf4c266af713a8d', '7ede6616dd4e88afd368b9015834657af33be8ec']",2015-06-06T04:00:26Z,188f0e2710bec195925687f51db5dc430ee5ee91,5
https://github.com/pallets/flask,1763,https://github.com/chaosagent/flask,2016-04-01T02:51:25Z,2016-04-02T03:51:11Z,"['b4dd92d7b0c43aacc774b8f135cc3d16c9f933b2', '3353c14723f13a3f7322616ce85ca2701aac8529', '4d012cb3b3ecc072caa56e098a5aba964b1b7f43']",2016-04-01T02:53:19Z,b4dd92d7b0c43aacc774b8f135cc3d16c9f933b2,3
https://github.com/pallets/flask,1811,https://github.com/Sanjurjo7/flask,2016-05-17T11:22:28Z,2016-05-21T01:02:05Z,"['eadb6091d131b1e5b0c1cca7fe309d3ae7d5d2b4', '318fe62819c5894184c9ae7735305d1795d162a8', '30fef1c5a87704e12c4609e1b114029a052303c8', '8f75aa94ac7527703788df38e788ab79c22e377e', '61fc6b44f4b6cda56e123e84a55a97ea3f29dbd5', 'd8fdf2cbd5509511529a2010912429a3e0632147']",2016-05-17T11:53:08Z,eadb6091d131b1e5b0c1cca7fe309d3ae7d5d2b4,6
https://github.com/pallets/flask,1878,https://github.com/untitaker/flask,2016-06-03T11:59:47Z,2016-06-03T12:29:27Z,"['d393597c507ea62df534ba2ffb8a4e77cf3f1548', '293eb583f62e930c84dc1612fadf60185c0a9174', '6c359e0f532d18a71895f035dd1326ca5d2d67f8']",2016-06-03T11:57:28Z,d393597c507ea62df534ba2ffb8a4e77cf3f1548,2
https://github.com/pallets/flask,1954,https://github.com/wgwz/flask,2016-07-12T17:26:30Z,2016-08-21T15:43:31Z,"['99a4eee01c9e1c90aae364ebf34a1ea0d8847d62', 'c33479b9031a176ae575dd1d4f00ec8c02bce911', '7fa87456c38c5ed157fef722fe81d2e4e0a18756', '7340c4c3d8091ed1c2a04ed0d2e4ec070876a71f']",2016-07-12T17:52:16Z,99a4eee01c9e1c90aae364ebf34a1ea0d8847d62,3
https://github.com/pallets/flask,1988,https://github.com/pallets/flask,2016-08-25T15:42:43Z,2016-08-25T23:49:46Z,"['db1c3cc2202c9913220213fab186859fe8fb70d1', 'c634b08d312f72a3f0bdefad10a6d8d095fe1364', 'ad567480708ceb860fab0455d3220b92ecd67601']",2016-08-20T15:38:16Z,db1c3cc2202c9913220213fab186859fe8fb70d1,2
https://github.com/pallets/flask,2002,https://github.com/wgwz/flask,2016-09-01T18:34:31Z,2016-09-06T18:06:47Z,"['00e364041e28d2a4f100add19481ad0bad45b195', 'ed8c192e332e48badf4e28c15b7ee2cddf9daec1', '54feffde496686882a4cddbaa3c1b8e97be0d5eb', '9fcd1ab036e5e9e9ce8a61128ad6a8e5827c743a', '84c5bdae4f13392edaeef4028c4b969fd5b44edd', '44c7d10d40dcb7665a35bc510ce46631befda30e']",2016-09-01T19:00:45Z,ed8c192e332e48badf4e28c15b7ee2cddf9daec1,3
https://github.com/pallets/flask,2019,https://github.com/pallets/flask,2016-09-10T00:33:53Z,2016-09-11T18:28:30Z,"['a30951ec28e23a5d1c9380c4bd5844f2290c1dc8', '1f0ca894a27f12131079c27eccdcc3fc9283eadd', '11f3a3f6ddd5c6bc2b6223eb2ad7cf25e0010132']",2016-09-10T00:35:40Z,a30951ec28e23a5d1c9380c4bd5844f2290c1dc8,2
https://github.com/pallets/flask,2047,https://github.com/mrecachinas/flask,2016-10-01T16:46:13Z,2016-10-09T14:21:39Z,"['97ed068833d58db6d633ccedf5c012b25ed2e354', 'd5437f1a026808dddf26e7d1c43f801cd901c9c1', 'b1bd03a999aa624f8d97efe1f9269d375dfc0e1d', '695701e267b65b0e4429e84b2408589f48d01a24', '2ecdec56c3eb27a7356e9e9191e23edfd7ba93c7', 'c38bcf8fe1d5af5378e966ab1a1fb5904d2d24cb', 'aff881bb61d357e821d8b43b999eac98162345bd', 'b18fddcf6d1a87364fbca5884e9fe9dd398596a8', '90e9b838156462143776705a9a78128d24c13b6d', '2b3702543c55735711a68b009c883a2f01f53717', '29371b83d6363fdb06ecea19262c799c10658053', 'bc385fc424915c060d1af9df4f7b9dffb07dee89']",2016-10-01T16:54:53Z,d5437f1a026808dddf26e7d1c43f801cd901c9c1,3
https://github.com/pallets/flask,2071,https://github.com/alexk307/flask,2016-10-31T20:23:22Z,2016-10-31T20:45:45Z,"['a8761411c0356803f5e33df407d3f142a349d130', 'a06051d7dce5f2d81ec35cdc39a3d85a2464818f', '41803926abb25255fcd8f4b74f52b774605204fe']",2016-10-31T20:24:19Z,a8761411c0356803f5e33df407d3f142a349d130,2
https://github.com/pallets/flask,2073,https://github.com/alexk307/flask,2016-11-01T20:46:14Z,2016-11-02T12:53:10Z,"['3f1addb0c8ebcc1e7925580959f19032950867f4', 'c7086c8e409d25c17516cae9374a604b272c7563', '97eb5d92ee95b5a91c59089091ead6230f752fda', '52f91ab8ac449bc7c11e73ece83bcee6ce10b58b', 'c9c8ca94a5942d46fde28549827f46df70d3f5c4', 'bb04eaee00dbb5f9ecb259d172ad256d3005bfee']",2016-11-01T20:46:57Z,3f1addb0c8ebcc1e7925580959f19032950867f4,4
https://github.com/pallets/flask,2123,https://github.com/pallets/flask,2016-12-25T15:37:07Z,2016-12-25T19:06:26Z,"['67d66fcd93faec86ad49f503af82b75d351bee57', '2de4cdc5840a596bcd810b4c4387b83ff612f8ab', '85f37592fd7cb4c01bd4879c574320a9da2df1ca']",2016-12-25T15:37:43Z,67d66fcd93faec86ad49f503af82b75d351bee57,3
https://github.com/pallets/flask,2131,https://github.com/wgwz/flask,2016-12-30T18:42:05Z,2016-12-31T23:51:00Z,"['e49b73d2cf7d08a6f3aa3940b4492ee1f3176787', '949771adf51ecaea685b57cb37089b4772f9d285', '92fa444259fe32debf922eddbd6d18e7d69fdfaa', '46c1383919454ae281967316d6d6fb33bce9b773', '1b7258f816c2e025acc03a4e775d41a9d4477850']",2016-12-30T18:48:08Z,949771adf51ecaea685b57cb37089b4772f9d285,4
https://github.com/pallets/flask,2152,https://github.com/r0fls/flask,2017-01-16T23:01:43Z,2017-01-17T02:32:40Z,"['823d6e086831de5ff18c1de0d09e1888b3eca763', 'a0494ba5137fa5fab5882f48b32be6a6253a816e', 'b6aec54c9664e524e68501c1e0bfa766880e1b7c', 'e3e225c47908007ec0d93a29b1e0757eee01516f', '3a488316d0dde6c9bc3a1cc7a067af561aa07af3']",2017-01-16T08:26:38Z,823d6e086831de5ff18c1de0d09e1888b3eca763,6
https://github.com/pallets/flask,2222,https://github.com/Diggsey/flask,2017-03-23T14:43:56Z,2017-03-23T17:51:45Z,"['a3b0a3344565a72a8a9e17f3a1fa33928e04a8cc', '3197ec70ebccc55e6994bc811de10ba043827288', '10e23aa50d04d588969350e0cb59102b35b7d56f']",2017-03-23T14:47:35Z,a3b0a3344565a72a8a9e17f3a1fa33928e04a8cc,5
https://github.com/pallets/flask,2223,https://github.com/antlarr/flask,2017-03-23T16:30:48Z,2017-04-08T17:33:06Z,"['0049922f2e690a6d58f335ca9196c95f1de84370', '6ef45f30ab0e95d80ee2a29168f098e9037b9e0b', 'bf023e7dc0bae78ff0ab14dc9f10a87e2b56f676', 'd50a5db5ed07a14733b8cbfc0962b793209014dd', 'c1973016eacfb22fdec837394d8b89c0ca35ad15', 'f790ab7177c9959b560d238f4be9c124d635e70a']",2017-03-23T16:40:06Z,0049922f2e690a6d58f335ca9196c95f1de84370,6
https://github.com/pallets/flask,2228,https://github.com/wgwz/flask,2017-04-02T00:37:19Z,2017-05-25T21:40:52Z,"['8cf32bca519723c5d97f123127cdec81dba868f6', '54b6fc8de689a726aa01a0f2a39ce428e7a69712', 'e6740ec2f3cda96a1f1c42f25875c0182ea99fd7']",2017-04-02T16:34:07Z,54b6fc8de689a726aa01a0f2a39ce428e7a69712,6
https://github.com/pallets/flask,2297,https://github.com/hendrikmakait/flask,2017-05-22T19:30:18Z,2017-05-22T23:12:23Z,"['ced719ea18a56f6c4075e08dbe05f0e77eac1866', 'b4eb6534d52e86af3979b06734e5779f6bb9a4f6', '7ecdbcfa2b2d1c83c8c6561b49303ed5b1042350', '01ddf54b87850c50ee9020c6027647e0c5fca283']",2017-05-22T19:35:25Z,ced719ea18a56f6c4075e08dbe05f0e77eac1866,3
https://github.com/pallets/flask,2307,https://github.com/victoriagrey/flask,2017-05-23T00:36:55Z,2017-05-23T18:50:14Z,"['65fc888172fbff89a8354e8926a69b4515766389', '4e9d51b39b674b5c1c00081c1b457ff03ba6e76c', '378a11f99275a6b80d365a5d51d469844bf9ca17', '8858135043a42df9f0728eb548d3272b476100b6']",2017-05-23T00:46:44Z,4e9d51b39b674b5c1c00081c1b457ff03ba6e76c,3
https://github.com/pallets/flask,2309,https://github.com/aqt01/flask,2017-05-23T03:52:02Z,2017-05-25T21:42:42Z,"['8459cedaa94445fd17b223aed16312f5da2f76ac', '98b0f96a9820d6314cd814d27b25589ac08ccbf4', 'c47f4530a1f2a15830c1d1cb983297a580a4613d', 'ee7cb9d6b2ff404be33bcc0487f8b0fee806436d', '09a0d2ebd1c832977b46be6d0cbd7b42944ffc49', 'fcfd03146011dbb2ab77868b2f56374d51b39d56']",2017-05-23T03:54:19Z,8459cedaa94445fd17b223aed16312f5da2f76ac,5
https://github.com/pallets/flask,2314,https://github.com/cerickson/flask,2017-05-23T17:34:31Z,2017-05-23T17:49:01Z,"['668061a5fc928a5055815acf818b02baf1aef37b', '637eae548935ad1434459c1afac286c8686abeed', '4f815015b803a146ddc24a2dfadd9ed9b22d7de7', '48f7b9394cef7d44812eea26254dbc6938389e06', '361dba7e3af06be8f81c7bdd5067c59e08df2df9']",2017-05-23T17:42:18Z,637eae548935ad1434459c1afac286c8686abeed,6
https://github.com/pallets/flask,2326,https://github.com/hendrikmakait/flask,2017-05-25T17:11:42Z,2017-05-25T18:28:20Z,"['7106fb63578deef49741096d3d5aa04db89e15ae', '7a1a594b2649890fca5d0e2a24db111046d68f39', '48c2925664e154711e97385cc197be8bbb59572d']",2017-05-24T00:15:20Z,7106fb63578deef49741096d3d5aa04db89e15ae,4
https://github.com/pallets/flask,2340,https://github.com/pallets/flask,2017-05-27T17:37:41Z,2017-05-27T17:46:18Z,"['4ef3500db1427c01685eed451adfd7d8cb8847c6', 'fe2974b7a44865a5c8062709a9a8603b86933251', '1ee439adff49b4560f930bea9aa12845962087c0']",2017-05-27T17:44:23Z,fe2974b7a44865a5c8062709a9a8603b86933251,2
https://github.com/pallets/flask,2374,https://github.com/astralblue/flask,2017-06-14T19:22:09Z,2017-06-14T21:23:13Z,"['d75d83defdbcc2e498f816b5cd20dcc24a1b7138', 'd41e2e6a5db3211ecd3c3f3f55934474406ffac2', '0e6cab357690614791ab4ca0da0ac65dbb803041', '5b38fe2fbe6b40a004d39ea2094d0e0e7c830ea0', 'eb9618347c680a038e2e6310228d85a53b080f93', '34050630d67918dc8614b8ead8c683e66e4ececc', 'f80376027571ba5190ab6cf1411dd1dd9bb9c65e', '63ccdada1b9ddc69f97b00de1ac343894c1d8420']",2017-06-14T19:39:26Z,d75d83defdbcc2e498f816b5cd20dcc24a1b7138,4
https://github.com/pallets/flask,2378,https://github.com/miguelgrinberg/flask,2017-06-15T18:27:50Z,2017-06-16T13:59:37Z,"['7c40aa9e50d97b7c412745a53c8cdc2597c46680', '0b80acb25cb4ee3f2acad6ae8064d834e0583408', '448368e226c8edd1077cf8e5a12ddaa9222b8ec9']",2017-06-15T19:01:32Z,7c40aa9e50d97b7c412745a53c8cdc2597c46680,5
https://github.com/pallets/flask,2530,https://github.com/pallets/flask,2017-11-24T23:05:57Z,2018-01-28T19:20:42Z,"['c23a63a185104b4dc39fe53d82254059c5ff4727', '1a2dc6f205003cd2307b33927b8628a3d97b7ce6', '2cba0d77eef983b605bf2f5c85a9d02fe212eda0']",2017-11-24T23:06:26Z,c23a63a185104b4dc39fe53d82254059c5ff4727,4
https://github.com/pallets/flask,2541,https://github.com/nsiregar/flask,2017-12-03T07:37:52Z,2018-01-04T20:34:25Z,"['601cd90fdbb76f972442f3841a2f4d25e5d6f200', '5892a6f2c5aefeb54598a824c9775b487999ba90', 'c11fe5d00702622f8c31fd72ee1a249c175a0b57']",2017-12-03T07:50:18Z,601cd90fdbb76f972442f3841a2f4d25e5d6f200,3
