Repo,PullRequest,Fork,Start_date,End_date,Commits,PR_Start,Commit_Before_PR,Participants
https://github.com/tornadoweb/tornado,260,https://github.com/alanhogan/tornado,2011-05-12T17:50:00Z,2011-05-19T02:51:31Z,"['699318c837ea7727dbb8b03d81432b8b679a646d', '910a0b543648a664906098d5734ccd1a3f347b00', '1100a5239ca0c572141dd1e698ffca4f2b377986', '4f911478e1fdbfddd9e0f985965cdc924534280f']",2011-05-12T17:51:31Z,699318c837ea7727dbb8b03d81432b8b679a646d,2
https://github.com/tornadoweb/tornado,302,https://github.com/ovidiucp/tornado,2011-07-12T18:28:24Z,2011-07-15T02:00:44Z,"['a45f673573cdc95177e7d17022c786156084671b', '7326a150b9f5816bb40e64746702cef6e0f744ef', 'e1043bed2450f77ca1a19226fc4fe9c2bf953f2a', 'ec838edccbe6642ee6aa9a9f50a442b89aa5b0c4', '3bb589fbd0c88dd12e65ceacda358867d1ec299e', '99b3a9a764011ed8bdb9f71c791aac738de6e14c', '5eaa84b7e335b80f02c9ac53af78de5ef9f9583d', '051a6cac0ee5f981136be7b43c2ee74a1aba1b4b', 'a026a784d0e5b5d4291d3d299467df45fc7f4e06']",2011-07-12T20:43:14Z,3bb589fbd0c88dd12e65ceacda358867d1ec299e,2
https://github.com/tornadoweb/tornado,368,https://github.com/amorton/tornado,2011-09-28T10:26:58Z,2011-10-24T10:38:54Z,"['1667e0b7f800f4fe41ad49c17f7151c6a6058c92', '6cd8e08fe3092b3ccfa167b0560c42c4348989bd', '45752bfdf96724e88d616f626132461e08e02a33']",2011-09-28T10:31:44Z,1667e0b7f800f4fe41ad49c17f7151c6a6058c92,2
https://github.com/tornadoweb/tornado,476,https://github.com/birknilson/tornado,2012-03-09T17:25:52Z,2012-03-26T10:02:13Z,"['ac45401f2a71a32447afcdc64e123a396a549020', 'e0048efc32a2415d5f34ed2067901261ca94ade5', 'c34888b0558c9f0c814788c79ccd182d81b201d1', '38cccf8e53b41370f19a1914646e6949ba1fd907']",2012-03-09T17:40:03Z,ac45401f2a71a32447afcdc64e123a396a549020,2
https://github.com/tornadoweb/tornado,575,https://github.com/bergundy/tornado,2012-07-31T15:15:52Z,2012-08-15T11:48:20Z,"['121604bc3052e5be59ed0f08ce7cb56d5b203396', '954777f35351ea93b2413281495a704c460bfba0', 'b399c011cd186e8f3da73711552bd904038278d1', '0e1863c6a0d654a4259def91af5856f158315b09']",2012-07-31T15:19:15Z,121604bc3052e5be59ed0f08ce7cb56d5b203396,3
https://github.com/tornadoweb/tornado,593,https://github.com/phihag/tornado,2012-09-04T10:33:38Z,2012-09-04T15:04:47Z,"['c744288f94e7b5a65abe447d672e3b875ff5482c', '587ef5ee9c53e2b99458b1946d10b85efa4d54b0', 'b85e2f6e6031bbae9ea72fb57383f873bdb7302b']",2012-09-04T15:07:07Z,b85e2f6e6031bbae9ea72fb57383f873bdb7302b,3
https://github.com/tornadoweb/tornado,628,https://github.com/jparise/tornado,2012-11-07T01:33:24Z,2012-11-18T19:52:33Z,"['68f52c12d6eca66e9404f4e76b69f056f9ee5d43', 'a5fffe3259d7d5c2786c49058442a07fab6cacf3', '364321653935686a71097a3995acd7cf20c74d7a']",2012-11-07T01:37:21Z,68f52c12d6eca66e9404f4e76b69f056f9ee5d43,2
https://github.com/tornadoweb/tornado,686,https://github.com/omribahumi/tornado,2013-02-27T22:11:32Z,2013-02-28T18:18:22Z,"['4de9ab87f24558cc7c2c463b20ef75178fd18257', 'abaecb033e725b08c1c9d004aa3c44c2bee021b8', 'a070dec2429a0c8a63e4ff1aa775adfddc15f09f']",2013-02-27T22:20:46Z,4de9ab87f24558cc7c2c463b20ef75178fd18257,3
https://github.com/tornadoweb/tornado,723,https://github.com/ajdavis/tornado,2013-04-11T19:17:26Z,2013-04-13T18:31:07Z,"['cab39beba263e68647d54d68d18cab4f52c7a802', 'bf21f83cd0f7fde3f155c2ae8c1d3ee8b90edaa9', '741e9c8e4e9d552cf1bc5e56359e2b94302b8a98', '526f94e50bd40c60a566be2a3b9079d2401209ee', '62dde35e3f5329c65db55dde42bf4c065e2605ef']",2013-04-11T19:21:44Z,cab39beba263e68647d54d68d18cab4f52c7a802,3
https://github.com/tornadoweb/tornado,727,https://github.com/mrjoes/tornado,2013-04-13T20:09:50Z,2013-04-13T21:28:36Z,"['681e76a4e9b4940542fd5f5e8facb680d37f56c2', 'fd7286646909501376c9a205bed28cdf610bcbe3', 'f716564dfef9564e301f446f9c657f6cb4ccc066', '78d9cc6519f2894783b3409ca67360173e8a26fa', '7485f2a0cb7b378159a509c11224d04a942565b6']",2013-04-13T20:15:29Z,fd7286646909501376c9a205bed28cdf610bcbe3,2
