URL,PullNo,Participants,CCN,LOC,Tokens,Functions
https://github.com/scrapy/scrapy,1728,4,0.0,-0.2000000000000006,-1.0666666666666664,0
https://github.com/scrapy/scrapy,1731,7,0.0095238095238094,-0.2190476190476191,-0.7285714285714278,-2
https://github.com/scrapy/scrapy,1746,6,-0.002415458937198,-0.0183574879227048,-0.0961352657004823,-1
https://github.com/scrapy/scrapy,1761,5,0.019754618382909962,-0.16557960266242588,-1.8585905751771894,-0.5
https://github.com/scrapy/scrapy,1787,5,0.0,0.0,0.02173913043478135,0.0
https://github.com/scrapy/scrapy,1887,7,1.1091036414565827,3.267387695819069,20.817774096496425,42.833333333333336
https://github.com/scrapy/scrapy,1891,4,-0.039926739926739764,0.048962148962148795,-0.2781918564527241,-0.3333333333333333
https://github.com/scrapy/scrapy,1933,3,0.0,-0.1607142857142856,-2.0357142857142847,1
https://github.com/scrapy/scrapy,1947,3,-0.0084745762711864,-0.02863822326125075,-0.3876388077147883,-0.5
https://github.com/scrapy/scrapy,1989,6,-0.10815134442851833,-0.425754830917874,-2.2169402306630572,-1.8333333333333333
https://github.com/scrapy/scrapy,2005,3,0.7142857142857142,1.4500000000000002,10.011904761904761,0.0
https://github.com/scrapy/scrapy,2061,6,-0.0018384977114519175,-0.12975704632264126,-0.7723652965021588,-0.38596491228070173
https://github.com/scrapy/scrapy,2065,4,0.0,0.75,3.5,0
https://github.com/scrapy/scrapy,2069,4,0.0344827586206895,0.0344827586206903,0.2413793103448256,0
https://github.com/scrapy/scrapy,2082,5,0.12380952380952381,0.13608058608058599,2.108058608058606,0.2857142857142857
https://github.com/scrapy/scrapy,2248,4,0.0,-0.0714285714285711,-0.4285714285714306,0
https://github.com/scrapy/scrapy,2306,3,-0.26779942279942276,-0.08087079587079575,3.96551393051393,-1.2
https://github.com/scrapy/scrapy,2343,4,0.0383581752484192,0.003613369467027866,0.07199638663053065,-0.6666666666666666
https://github.com/scrapy/scrapy,2382,3,0.0,-0.01923076923076915,-0.1538461538461533,0.0
https://github.com/scrapy/scrapy,2391,4,0.04166666666666673,0.125,-0.23284313725490335,0.0
https://github.com/scrapy/scrapy,2410,4,0.00357142857142854,-0.18750000000000008,-1.255357142857143,-0.4
https://github.com/scrapy/scrapy,2411,3,0.0,0.0,0.0,0
https://github.com/scrapy/scrapy,2456,4,-0.02403846153846155,-0.40824175824175835,-0.9630373303167445,-0.25
https://github.com/scrapy/scrapy,2503,3,0.0,0.25,2.0,0
https://github.com/scrapy/scrapy,2528,5,0.0,0.0,0.0,0
https://github.com/scrapy/scrapy,2535,5,-0.1583333333333333,-0.25833333333333375,-1.9416666666666629,0.0
https://github.com/scrapy/scrapy,2537,4,-0.03125,-0.125,-0.40625,0.0
https://github.com/scrapy/scrapy,2540,3,0.0036075036075035997,0.06277056277056244,0.5652958152958144,-0.6666666666666666
https://github.com/scrapy/scrapy,2547,4,-0.06737012987012977,-0.1339285714285714,-1.002029220779221,0.25
https://github.com/scrapy/scrapy,2609,5,0.0806451612903225,0.8101736972704714,4.305210918114142,-5
https://github.com/scrapy/scrapy,2611,4,0.0,0.0625,0.75,0.0
https://github.com/scrapy/scrapy,2612,4,-0.0827380952380953,-0.4303571428571428,-3.9065476190476147,-0.5
https://github.com/scrapy/scrapy,2616,5,-0.013033661740558299,-0.155685550082102,-0.295566502463051,-1.0
https://github.com/scrapy/scrapy,2632,5,0.0,0.03125,0.0625,0.0
https://github.com/scrapy/scrapy,2678,3,0.0,-0.068965517241379,-0.0689655172413807,0
https://github.com/scrapy/scrapy,2767,4,-0.0322580645161294,-0.1612903225806441,-1.4193548387096795,0
https://github.com/scrapy/scrapy,2769,6,0.0,0.0,0.0,0
https://github.com/scrapy/scrapy,2793,4,-0.0714285714285716,-0.1059113300492606,-1.0123152709359573,1
https://github.com/scrapy/scrapy,2864,5,-0.0344827586206895,-0.0344827586206895,-0.0344827586206903,0
https://github.com/scrapy/scrapy,2923,4,-0.0193548387096775,0.1763440860215048,1.519354838709674,-1
https://github.com/scrapy/scrapy,2956,4,0.0944444444444444,1.0555555555555558,5.783333333333335,-1.5
https://github.com/scrapy/scrapy,3011,7,0.0,0.0,1.0,0.0
https://github.com/scrapy/scrapy,3082,4,0.0714285714285714,0.03571428571428555,0.4642857142857153,0.0
https://github.com/scrapy/scrapy,3131,3,0.0,0.0,0.0,0
https://github.com/scrapy/scrapy,3153,4,0.0,0.16666666666666696,0.18913857677902965,0.0
https://github.com/scrapy/scrapy,3166,4,-0.0042372881355932,-0.01694915254237325,0.9237288135593218,0.0
https://github.com/scrapy/scrapy,3315,3,0.0,-0.005358776783632472,-0.2000347371516451,0.0
https://github.com/scrapy/scrapy,3326,3,0.0,-0.1666666666666669,-0.3333333333333357,0
https://github.com/scrapy/scrapy,3377,2,-0.07680976430976436,-0.20917508417508435,-0.7737794612794602,-2.5
https://github.com/scrapy/scrapy,3381,3,-0.0533424908424908,-0.1616300366300369,0.23706501831501825,-2.5
https://github.com/scrapy/scrapy,3383,3,-0.02886904761904765,0.01785714285714275,0.30565476190476204,-0.5
https://github.com/scrapy/scrapy,3390,4,0.0,0.0,0.0,0
https://github.com/scrapy/scrapy,3415,4,-0.047619047619047665,-0.7261904761904763,-5.928571428571426,0.3333333333333333
https://github.com/scrapy/scrapy,3429,2,0.047619047619047596,-0.25,-2.3571428571428563,0.3333333333333333
https://github.com/scrapy/scrapy,3442,3,-0.021284794110881067,-0.046192776627559475,-0.6245284103979761,0.0
https://github.com/scrapy/scrapy,3450,3,-0.013888888888888831,0.527777777777778,1.7638888888888904,-0.3333333333333333
https://github.com/scrapy/scrapy,3505,6,-1.2460194375516958,-1.890663771712159,-13.704818031430932,-6.0
https://github.com/scrapy/scrapy,3512,4,0.21125541125541158,0.3479978354978357,4.585930735930742,-2.5
https://github.com/scrapy/scrapy,3520,7,0.1312975944111989,0.6008848872803993,5.314024809536731,-1.0
https://github.com/scrapy/scrapy,3563,6,0.00778321058921754,0.13677956136404887,1.1939964849018287,-1.6842105263157894
https://github.com/scrapy/scrapy,3579,7,0.06991849569261258,-0.12242725123301633,1.6918898882713747,-1.1851851851851851
https://github.com/scrapy/scrapy,3607,6,-0.034711455641688066,-0.22549526270456519,-1.273901808785529,-0.6666666666666666
