URL,PullNo,Participants,CCN,LOC,Tokens,Functions
https://github.com/tiangolo/fastapi,97,2,-0.020833333333333332,-0.06180555555555552,-2.9812499999999997,-0.16666666666666666
https://github.com/tiangolo/fastapi,198,2,0.004166666666666634,3.598611111111111,1.947222222222221,-1.3333333333333333
https://github.com/tiangolo/fastapi,400,2,-0.0863970588235294,-0.22426470588235325,-0.507352941176471,0.5
https://github.com/tiangolo/fastapi,422,2,0.0,1.75,8.5,0.0
https://github.com/tiangolo/fastapi,451,2,0.0,0.0,0.0,0.0
https://github.com/tiangolo/fastapi,463,2,0.0,-0.0434782608695663,-0.3913043478260931,0
https://github.com/tiangolo/fastapi,464,3,0.0,0.0,0.0,0
https://github.com/tiangolo/fastapi,467,3,-0.015151515151515133,-0.015151515151514966,-0.3293807641633748,0.0
https://github.com/tiangolo/fastapi,589,2,0.0,0.0,0.0,0
https://github.com/tiangolo/fastapi,637,3,0.2000000000000001,0.4000000000000003,3.0,0
https://github.com/tiangolo/fastapi,642,2,0.5,0.5,-2.0,0.5
https://github.com/tiangolo/fastapi,646,6,-0.05178770504857465,-0.41064659977703444,-0.9205353824919045,-0.23076923076923078
https://github.com/tiangolo/fastapi,722,3,-0.005208333333333337,-0.07971014492753659,-0.9754787784679078,0.0
https://github.com/tiangolo/fastapi,756,6,0.0,1.6547619047619047,13.202380952380953,-1.0
https://github.com/tiangolo/fastapi,797,10,0.0,0.0370370370370369,0.1481481481481476,0.0
https://github.com/tiangolo/fastapi,853,3,0.0,0.0,-0.7083333333333286,0.0
https://github.com/tiangolo/fastapi,899,3,-0.08333333333333336,-0.5285714285714289,-2.533333333333333,-0.5
https://github.com/tiangolo/fastapi,994,4,0.0,0.0,0.0,0
https://github.com/tiangolo/fastapi,1079,5,0.0227272727272727,-0.5757575757575759,-2.878787878787879,-2.5
https://github.com/tiangolo/fastapi,1199,3,-0.008454106280193266,-0.3834541062801928,-2.1129227053140105,0.3333333333333333
https://github.com/tiangolo/fastapi,1267,8,0.0,-0.3,1.7,0.0
https://github.com/tiangolo/fastapi,1348,3,-0.01739130434782606,-0.025120772946859476,-2.2579710144927545,0.0
https://github.com/tiangolo/fastapi,1354,2,0.0,-1.3782051282051286,-13.121794871794872,0.0
https://github.com/tiangolo/fastapi,1386,3,0.0,0.0,0.0,0
https://github.com/tiangolo/fastapi,1610,3,0.0,0.0,0.0,0.0
https://github.com/tiangolo/fastapi,1670,3,0.0,0.0,0.0,0.0
https://github.com/tiangolo/fastapi,1731,2,0.0,-0.05173913043478205,-0.67152173913043,0.0
https://github.com/tiangolo/fastapi,1757,3,0.05355428388037085,-0.01787127124083663,-0.2989851935504126,-0.7272727272727273
https://github.com/tiangolo/fastapi,1774,2,0.0,0.0,0.0,0
https://github.com/tiangolo/fastapi,1812,3,0.06845618552140292,-0.23257845080308862,-4.3617130820982855,-0.3333333333333333
https://github.com/tiangolo/fastapi,1827,2,0.0,0.12666666666666693,-7.413333333333334,0.0
https://github.com/tiangolo/fastapi,1872,4,0.04166666666666668,-0.08333333333333337,1.25,-1.0
https://github.com/tiangolo/fastapi,1904,2,-0.16,-0.42,-1.58,-0.24
https://github.com/tiangolo/fastapi,1922,6,0.08700960874873917,0.0900886553060474,-2.411132345914954,-0.2857142857142857
https://github.com/tiangolo/fastapi,2016,3,0.011792200854700854,-0.004767047565960858,-1.1113825184477366,0.0
https://github.com/tiangolo/fastapi,2061,16,0.0,0.0,-0.04761904761904745,0.0
https://github.com/tiangolo/fastapi,2118,8,-0.07692307692307684,-1.427884615384615,-0.8942307692307736,-2.5
https://github.com/tiangolo/fastapi,2298,2,-0.25,-1.75,-24.5,0.0
https://github.com/tiangolo/fastapi,2568,15,0.0,-0.1428571428571428,-1.5714285714285712,0.0
https://github.com/tiangolo/fastapi,3144,12,0.1388888888888889,0.23504273504273498,-0.7849893162393162,-0.375
