URL,PullNo,Participants,CCN,Quality,Num_Vulns
https://github.com/keras-team/keras,6990,6,-0.5,0.0,0.0
https://github.com/keras-team/keras,7040,2,0.0,0.0099999999999997,0.0
https://github.com/keras-team/keras,7063,2,-0.0392002734108,0.0199999999999995,0.0
https://github.com/keras-team/keras,7069,2,-0.0168804363850803,0.0,0.0
https://github.com/keras-team/keras,7113,4,-0.0031291111460427,0.04,-1.0
https://github.com/keras-team/keras,7135,2,-0.0541795665634674,0.0100000000000006,0.0
https://github.com/keras-team/keras,7161,4,-0.0112382075471697,0.0099999999999997,0.0
https://github.com/keras-team/keras,7169,3,0.0,0.0,0.0
https://github.com/keras-team/keras,7256,2,0.0,0.0,0.0
https://github.com/keras-team/keras,7272,3,0.0,-0.0099999999999997,0.0
https://github.com/keras-team/keras,7306,4,0.0,0.0100000000000006,0.0
https://github.com/keras-team/keras,7407,2,-0.0714285714285716,-0.0099999999999997,0.0
https://github.com/keras-team/keras,7422,2,-0.0153846153846153,0.0099999999999997,0.0
https://github.com/keras-team/keras,7430,3,0.0,0.0,-1.0
https://github.com/keras-team/keras,7467,5,0.0,0.0,0.0
https://github.com/keras-team/keras,7566,6,0.0,0.0099999999999997,0.0
https://github.com/keras-team/keras,7573,3,-0.0161290322580645,-0.0099999999999997,0.0
https://github.com/keras-team/keras,7593,3,0.0,0.0,0.0
https://github.com/keras-team/keras,7691,2,0.0,0.0,0.0
https://github.com/keras-team/keras,7696,2,0.0,0.0,0.0
https://github.com/keras-team/keras,7793,2,0.0,0.0099999999999997,0.0
https://github.com/keras-team/keras,7865,2,0.0,0.0,0.0
https://github.com/keras-team/keras,7975,3,0.0,0.0,0.0
https://github.com/keras-team/keras,7980,4,-0.0379403065161579,0.0099999999999997,0.0
https://github.com/keras-team/keras,8039,5,0.0,0.0099999999999997,0.0
https://github.com/keras-team/keras,8052,5,-0.0108700417234438,-0.08,-1.0
https://github.com/keras-team/keras,8056,6,-0.011111111111111,-0.0099999999999997,0.0
